Layer,Name,GEOID,EDE_2008-2012,EDE_2012-2016,EDE_2016-2020,INC_2008-2012,INC_2012-2016,INC_2016-2020,PCT-W_2016-2020,PCT-W_2008-2012,PCT-W_2012-2016
,,,"College graduation rate (% of residents), 2008-2012","College graduation rate (% of residents), 2012-2016","College graduation rate (% of residents), 2016-2020","Median household income, 2008-2012","Median household income, 2012-2016","Median household income, 2016-2020","Demographics, Non-Hispanic White (% of residents), 2016-2020","Demographics, Non-Hispanic White (% of residents), 2008-2012","Demographics, Non-Hispanic White (% of residents), 2012-2016"
Zip code,60601,60601,80.7682458386684,76.821608040201,83.4512976070104,95443.0452317043,116938.033840591,115535.591683489,59.3536829049817,66.0198141150036,66.3672873311427
Zip code,60602,60602,83.3910034602076,88.249694002448,93.1850789096126,96789.2144901174,96171.3450719847,238476.000399299,49.749373433584,61.2708018154312,72.2044728434505
Zip code,60603,60603,82.7683615819209,96.1538461538461,95.2434881087203,126750.656225737,158382.356529648,147680.0436456,58.3473861720067,62.9213483146067,55.4907677356657
Zip code,60604,60604,82.5192802056555,87.0103092783505,91.4634146341464,125481.444752546,169232.393409348,61715.2399343375,69.5473251028807,82.0093457943925,58.3198707592892
Zip code,60605,60605,73.6237600788909,78.4437541375974,78.3671304418785,84490.1764457952,112417.654839282,115081.353690188,57.2019386106624,55.791497356578,56.3385043007926
Zip code,60606,60606,89.5144628099173,94.1773102930128,94.1618299761011,120660.3354999,135242.750604494,128558.837352204,57.2721598002497,78.1992496873697,73.6964463633345
Zip code,60607,60607,70.8116939954485,77.0904325032765,78.757225433526,95310.4410479381,97482.3677100202,108735.72269793,53.0192041179964,53.5197923960951,52.9372379039363
Zip code,60608,60608,17.8693550288881,23.6675840148843,31.1793734801888,42152.7388806318,42356.2894252313,60266.1048048981,20.6559098124008,15.493133116681,17.4339071626191
Zip code,60609,60609,10.7388172223153,11.8240730904069,16.1309355840025,41398.5525854611,36885.6162847446,42498.127243284,15.3936351175043,16.7304771547905,14.9510040160643
Zip code,60610,60610,71.3450096931613,72.1286666452008,77.4432320849307,85228.9711839216,86906.2590341401,101169.65644757,67.7174390779899,68.8796242545781,70.8101358031115
Zip code,60611,60611,80.3958979251133,83.0912749222609,86.6869705243996,103116.328401251,104323.809146166,114258.244936667,68.5417096384477,75.2325501274719,72.7560751512847
Zip code,60612,60612,32.5981412123734,32.2971027532841,37.3105201052918,41580.8833381397,41863.6695689789,46939.3311963442,23.6786600496278,19.6127473021583,19.4353047048567
Zip code,60613,60613,71.5368285276651,73.6027130763973,75.2834002917168,77097.4932008252,83204.2828146143,89016.9457729763,71.9449794743088,74.5797849637203,73.1133504311476
Zip code,60614,60614,82.6107784431138,83.0944445580387,85.8830711064726,102724.435679585,106685.453537124,123572.758590474,80.0997361550469,81.697245658676,79.483506882278
Zip code,60615,60615,51.564486509394,56.4378465129851,62.1477663230241,46332.1386011225,45752.773697287,47065.8011712771,28.51352007379,24.2583570498288,25.5259954790471
Zip code,60616,60616,36.9900034871556,39.3154072826773,48.7150425033879,49984.6734843275,48220.3820847845,65177.3554981255,27.3569648191487,23.5661509572601,22.8642069227843
Zip code,60617,60617,16.22621171573,15.789166472099,19.2339591344341,45969.8450276182,41995.5609263737,45995.0220501786,5.88299777103811,7.53870078461865,7.26481837954051
Zip code,60618,60618,37.7460893356331,42.7117678796235,51.051959998813,67409.1000244016,70006.1288626633,90049.783901595,47.9365213532532,43.5675486964647,46.2836707378283
Zip code,60619,60619,22.5521925426201,22.018587889421,26.6902695294655,41170.0471616495,36099.9045231704,42959.7426517891,0.998826826565861,0.680713617291031,1.16997230269651
Zip code,60620,60620,13.4843719915281,16.4838655035149,18.2573511911202,39427.2493178642,36524.887785887,41628.6461656204,1.159087273309,0.580510472085662,0.877357537626806
Zip code,60621,60621,6.05466787257562,7.77057783966154,9.71057769610658,23232.9633754076,22714.6226624371,24260.1029415027,1.4549670855775,0.778662327851706,1.22040595226715
Zip code,60622,60622,59.4738561270384,64.5876238109248,71.6856105268123,79909.4122762262,89150.6666629695,111850.045830653,64.4428498593198,57.6450362133294,60.3833513870784
Zip code,60623,60623,7.34960333758458,8.2871501499712,12.0429358625069,35206.4107899465,33872.406042725,36585.6559151711,3.84526321206196,2.60671572597209,2.12850448733222
Zip code,60624,60624,8.92328269800325,7.62882730810709,11.1080958842153,26652.2569710952,24980.4485458861,27030.8493089909,3.3548239858504,1.56860754353013,2.24733833324592
Zip code,60625,60625,39.6488823867109,46.9706512155183,51.613479612622,65118.1259566539,67186.8101887797,77056.0478936977,46.2978939355494,41.3229967592298,43.4453049003878
Zip code,60626,60626,41.5542207132701,44.5619204437126,48.5130164523395,45057.0072982985,41684.4325961091,48092.3158011491,45.2476625438579,40.3311092737516,44.4120582950689
Zip code,60628,60628,16.2189623420334,18.9395138496326,21.6936465707715,46177.039064753,40191.9184320859,46804.4298897491,2.42431700713758,1.91213632248213,1.83762504223159
Zip code,60629,60629,8.76572389397376,8.45867460908414,11.0897100064717,48185.0452760709,46749.286175381,45710.4646065796,7.08422125451682,9.30621218485517,8.41239227133722
Zip code,60630,60630,30.0867568257208,34.541750527711,42.4047683288773,67000.6317797644,76056.22215444,82946.3869761973,55.4998922645982,61.6088843592402,55.8505561629097
Zip code,60631,60631,35.3465070971333,39.0198015145101,45.9928510958518,92367.1017546973,89571.1408194503,108485.944497438,79.9854490022173,86.2528325207718,85.0874707840499
Zip code,60632,60632,8.95814394687957,8.82539327518079,11.1771258819161,46830.5882561725,46025.574624548,49467.6767785443,8.90388052816698,10.990969189647,9.02605053017411
Zip code,60633,60633,14.9310615401861,15.5729457797652,14.2082179132041,49969.2819272832,57213.7944719271,55007.0616806052,30.0078616352201,31.1986624990914,34.8677537645315
Zip code,60634,60634,21.2453999612628,23.2814413153752,25.7452674820969,66894.0748463808,65589.4593047761,76416.3206038288,52.6757843500344,59.5350234126497,56.0409909787141
Zip code,60636,60636,7.26548259929634,8.84894573107501,10.0165241057543,31041.2186605737,30971.9234565984,28032.0699438763,1.31495722227771,1.52490765698313,0.888789513401716
Zip code,60637,60637,30.5793073963232,32.7391457818567,34.2007953673341,32164.8023248076,30539.0492579693,31774.5272854322,13.837112031059,15.4043727446402,14.1157085316734
Zip code,60638,60638,18.2846548620254,19.9745190470124,21.8056228175261,70480.3076377027,72605.6286075556,71709.5297034096,42.3331054910002,55.1714687665576,47.6829563952482
Zip code,60639,60639,8.12580425403073,10.5433841278031,13.5611024070645,46171.1192351206,44992.9892965682,54603.4116772777,8.07094842682031,6.91471194209094,7.11221469665562
Zip code,60640,60640,51.8629623968205,53.5636390521607,59.8185727967618,55802.6820470729,53421.636127687,62724.8919008851,54.7543240684967,52.3282922789043,54.8294777009301
Zip code,60641,60641,22.0341840713187,27.8975051677207,32.283562067898,55921.0786397214,59923.7673195945,71243.6986290734,35.7125550503827,38.2458551911802,36.7217802440475
Zip code,60642,60642,60.2422832112792,64.7677979076295,73.9550403933966,81615.5071762905,92892.0975620577,126935.806007232,61.1460551730969,55.5674118337513,58.8732827557925
Zip code,60643,60643,34.2974479319449,35.4391152304324,38.0527034245356,73229.476519,67282.6286962887,73544.3982563943,21.71827390266,23.0929737971991,21.1713227869404
Zip code,60644,60644,9.55579040670917,10.7902685120648,11.3284352660842,31398.776370372,30314.7212227423,29544.4400607822,4.00705590278534,2.35079456007468,2.20968879041192
Zip code,60645,60645,39.1493409430629,41.6602192134107,47.1534060032606,57030.4547128375,55385.3518933428,66385.1437587347,46.3217117040321,45.1116862779216,43.8119284547326
Zip code,60646,60646,46.5881049503953,51.9370827432733,53.8284619070436,86326.5075977728,89143.9030036159,106097.769804122,73.3016561649967,74.1899441340782,74.8998324470023
Zip code,60647,60647,40.924694810523,46.354285342274,57.3774363172644,60460.4040018634,68795.4338383726,86877.4953636948,48.503350533517,37.6010179167096,40.0231809690995
Zip code,60649,60649,24.3717590745912,24.8424040397373,26.1171055384523,35678.8131946139,29586.5005656736,38078.0016193793,3.15818537082661,1.75667175846887,3.09832367641205
Zip code,60651,60651,9.90669521317368,12.2590978312241,13.2214948851333,36659.1369817432,38774.931797511,43323.3438297212,4.99850814240173,3.00259250530285,3.65938567658155
Zip code,60652,60652,20.2348690153568,20.5613064763257,20.163627691969,78482.7333348122,72792.756516338,75109.4641961889,10.2657461698506,17.0804392716351,11.8927546960304
Zip code,60653,60653,26.8966888734215,28.9274543436586,36.1612113115119,30205.3387164755,29507.5912065485,36487.6416845981,6.24590456901173,4.04156307770765,4.22612336930263
Zip code,60654,60654,81.4050563125148,83.7429111531191,88.4619718309859,105142.094101466,105792.650502451,135007.752157324,71.9632904093792,72.6637913329226,73.3321791320407
Zip code,60655,60655,37.872878097017,40.8661209400581,45.9990313727601,102383.453492757,102697.14907163,104615.963264491,80.7461020488999,86.7348025125093,81.9247764517588
Zip code,60656,60656,28.5986607361064,36.3043169889829,40.1709401709402,65056.5597284767,65581.5683688635,72647.5153508285,72.1378786833207,78.7725368785285,77.4439590345914
Zip code,60657,60657,79.5082597003458,81.1661775086377,84.3270321361059,89608.4611459882,95050.8321724084,99829.0747132811,77.9213778036289,81.7325717633275,81.541972755153
Zip code,60659,60659,34.6937999239254,37.0326249855897,37.9312785307336,55850.0406841323,58085.1792519799,57761.9993012267,38.5557557648884,39.4366547954076,42.4721118092063
Zip code,60660,60660,49.755145258421,51.4526919401083,52.1945114865469,45349.4468821402,49367.9496217751,56242.2517691164,49.5225011632802,49.4063292957342,52.3403229693902
Zip code,60661,60661,84.7210588038197,90.5170139804801,90.438337497161,112850.896248808,114789.444719271,132124.236728854,57.8442332774362,64.3271621995026,58.0755645938135
Zip code,60707,60707,25.4725625275732,26.3945803040317,27.8434788435123,66779.2301515118,62578.5036158744,68283.2472991859,46.849224678324,57.7924528301887,49.9136958873213
Zip code,60827,60827,12.4467329545455,12.4376956068158,14.7217447993836,43497.7241731183,34480.0081079882,36758.4982142461,2.2805097610054,3.93581378945512,2.66768292682927
